date,open,high,low,close,volume,symbol
2023-11-30,681.2,698.75,677.0,679.5,162837.0,LICI.BSE
2023-11-29,676.05,691.8,672.45,679.15,145413.0,LICI.BSE
2023-11-28,680.05,694.0,670.75,673.65,660372.0,LICI.BSE
2023-11-24,619.85,681.8,619.85,677.65,1653076.0,LICI.BSE
2023-11-23,608.6,629.8,608.0,617.8,114681.0,LICI.BSE
2023-11-22,611.05,613.25,608.0,608.85,72442.0,LICI.BSE
2023-11-21,612.25,615.75,610.0,611.05,43704.0,LICI.BSE
2023-11-20,613.05,615.8,610.0,611.85,74170.0,LICI.BSE
2023-11-17,609.95,618.4,609.0,614.7,116358.0,LICI.BSE
2023-11-16,607.1,612.65,604.15,609.55,122082.0,LICI.BSE
2023-11-15,606.55,610.8,606.0,606.9,92652.0,LICI.BSE
2023-11-13,606.95,606.95,598.5,605.65,44550.0,LICI.BSE
2023-11-10,614.0,619.35,609.0,610.55,27942.0,LICI.BSE
2023-11-09,613.5,617.2,613.2,614.7,43645.0,LICI.BSE
2023-11-08,611.1,615.5,611.1,613.5,57193.0,LICI.BSE
2023-11-07,611.35,613.55,610.2,610.9,18046.0,LICI.BSE
2023-11-06,609.7,614.0,609.7,611.3,22736.0,LICI.BSE
2023-11-03,607.95,610.1,607.05,607.8,44988.0,LICI.BSE
2023-11-02,603.7,609.0,602.65,606.35,55711.0,LICI.BSE
2023-11-01,603.25,607.8,599.0,600.1,23848.0,LICI.BSE
2023-10-31,605.2,609.7,600.35,602.15,59196.0,LICI.BSE
2023-10-30,606.65,609.0,603.0,604.25,70561.0,LICI.BSE
2023-10-27,607.7,612.8,606.0,606.75,31103.0,LICI.BSE
2023-10-26,610.75,612.0,597.65,604.95,132365.0,LICI.BSE
2023-10-25,619.05,623.9,609.15,611.2,109326.0,LICI.BSE
2023-10-23,634.05,637.15,616.0,617.5,123378.0,LICI.BSE
2023-10-20,634.75,637.75,633.55,635.0,50695.0,LICI.BSE
2023-10-19,635.0,641.4,632.75,634.75,29203.0,LICI.BSE
2023-10-18,649.1,651.3,634.0,636.2,47383.0,LICI.BSE
2023-10-17,638.1,651.95,638.1,649.1,49883.0,LICI.BSE
2023-10-16,633.6,640.5,633.6,636.8,32295.0,LICI.BSE
2023-10-13,635.35,639.0,634.15,634.6,36481.0,LICI.BSE
2023-10-12,637.5,644.25,636.0,637.15,73847.0,LICI.BSE
2023-10-11,638.1,642.1,636.15,637.5,67175.0,LICI.BSE
2023-10-10,635.1,640.8,634.6,635.75,66785.0,LICI.BSE
2023-10-09,601.0,639.1,601.0,635.55,107437.0,LICI.BSE
2023-10-06,638.5,645.9,638.5,644.55,24370.0,LICI.BSE
2023-10-05,638.55,641.9,636.5,637.7,26922.0,LICI.BSE
2023-10-04,642.2,644.1,634.5,637.4,99137.0,LICI.BSE
2023-10-03,647.2,649.6,644.45,645.45,22420.0,LICI.BSE
2023-09-29,648.55,653.35,646.9,649.6,28951.0,LICI.BSE
2023-09-28,646.0,652.0,643.0,648.4,86114.0,LICI.BSE
2023-09-27,644.95,649.1,644.1,645.05,54278.0,LICI.BSE
2023-09-26,647.05,649.9,644.2,645.0,67771.0,LICI.BSE
2023-09-25,649.25,652.8,646.0,646.85,56856.0,LICI.BSE
2023-09-22,655.1,659.3,649.0,651.2,79631.0,LICI.BSE
2023-09-21,654.15,659.35,654.0,654.55,27554.0,LICI.BSE
2023-09-20,659.05,666.0,653.35,655.45,48570.0,LICI.BSE
2023-09-18,666.8,671.9,662.4,663.45,56368.0,LICI.BSE
2023-09-15,662.2,670.95,658.5,666.75,132580.0,LICI.BSE
2023-09-14,662.2,665.95,659.5,660.8,40309.0,LICI.BSE
2023-09-13,659.05,666.6,654.8,659.0,89049.0,LICI.BSE
2023-09-12,682.05,683.3,658.1,660.0,68803.0,LICI.BSE
2023-09-11,676.15,684.0,676.15,678.95,203409.0,LICI.BSE
2023-09-08,683.1,684.9,672.85,674.25,72065.0,LICI.BSE
2023-09-07,679.4,686.6,674.55,676.0,170156.0,LICI.BSE
2023-09-06,661.05,690.0,661.05,678.0,535953.0,LICI.BSE
2023-09-05,659.55,668.65,659.1,660.1,202054.0,LICI.BSE
2023-09-04,646.05,663.8,646.05,658.9,149168.0,LICI.BSE
2023-09-01,645.1,649.5,645.0,645.75,43161.0,LICI.BSE
2023-08-31,651.0,655.45,643.15,645.25,43171.0,LICI.BSE
2023-08-30,653.6,655.95,650.2,650.8,24686.0,LICI.BSE
2023-08-29,654.2,660.0,650.85,651.65,78814.0,LICI.BSE
2023-08-28,649.1,657.0,649.05,655.25,85098.0,LICI.BSE
2023-08-25,654.35,657.45,645.75,648.4,37382.0,LICI.BSE
2023-08-24,660.95,665.85,654.25,655.45,87431.0,LICI.BSE
2023-08-23,664.1,668.15,657.8,658.95,42212.0,LICI.BSE
2023-08-22,652.25,666.8,652.0,663.8,65807.0,LICI.BSE
2023-08-21,650.3,656.05,650.2,651.85,90379.0,LICI.BSE
2023-08-18,659.0,661.0,650.05,650.85,38794.0,LICI.BSE
2023-08-17,649.8,661.95,649.8,659.6,152935.0,LICI.BSE
2023-08-16,650.2,654.05,648.3,649.25,44046.0,LICI.BSE
2023-08-14,660.0,661.45,648.1,655.5,162051.0,LICI.BSE
2023-08-11,676.95,676.95,655.4,659.95,471284.0,LICI.BSE
2023-08-10,645.0,648.45,640.2,642.1,106057.0,LICI.BSE
2023-08-09,645.0,647.4,641.1,643.95,72482.0,LICI.BSE
2023-08-08,655.25,659.05,641.0,643.7,118972.0,LICI.BSE
2023-08-07,658.5,664.75,653.0,655.6,66057.0,LICI.BSE
2023-08-04,645.1,665.0,645.1,658.1,107559.0,LICI.BSE
2023-08-03,640.2,648.55,640.2,644.4,111946.0,LICI.BSE
2023-08-02,647.15,659.65,634.5,641.35,99190.0,LICI.BSE
2023-08-01,644.0,650.7,640.1,647.15,89319.0,LICI.BSE
2023-07-31,626.5,641.0,626.5,639.85,174750.0,LICI.BSE
2023-07-28,630.1,633.35,624.7,626.85,37710.0,LICI.BSE
2023-07-27,627.0,635.0,627.0,630.0,110603.0,LICI.BSE
2023-07-26,624.5,630.0,623.65,628.5,125398.0,LICI.BSE
2023-07-25,626.0,630.9,621.5,623.25,39083.0,LICI.BSE
2023-07-24,635.0,639.8,625.0,626.6,108862.0,LICI.BSE
2023-07-21,625.3,642.25,623.25,636.2,90459.0,LICI.BSE
2023-07-20,621.3,629.0,619.05,627.75,141346.0,LICI.BSE
2023-07-19,621.0,623.5,619.45,620.4,66144.0,LICI.BSE
2023-07-18,623.05,625.85,617.8,620.85,33349.0,LICI.BSE
2023-07-17,616.45,624.6,616.45,620.8,44561.0,LICI.BSE
2023-07-14,617.35,619.95,615.6,618.1,71363.0,LICI.BSE
2023-07-13,620.3,624.2,614.15,615.75,42538.0,LICI.BSE
2023-07-12,623.0,624.0,618.0,620.35,81770.0,LICI.BSE
2023-07-11,622.15,630.15,620.7,621.85,122771.0,LICI.BSE
2023-07-10,622.45,623.0,617.05,618.9,42955.0,LICI.BSE
